rating,review,image_url
4/5,"This was the ""headquarters"" for the family when we visited recently for our nieces  wedding to her Nigerian fiance. The facility Is centrally located and encompasses 3 different hotels on one complex. It was safe secure and  included a buffet breakfast with a huge selection of food to choose from. It was an ideal spot and one of the best family oriented hotels in Lagos. With an outdoor pool and different Hotels and bars on the complex You did not have to leave if you didn't want to!There were readily available cabs to take to different locations that you wanted to visit. Some of the rooms could do  with some upgrading and repairs....but Overall It was great value for the cost of the rooms and I definitely recomend it!",[]
4/5,"Excellent space for office programs/retreats. Rooms were fair enough; spacious and neat. Only issue I had was that the water in the bathroom wasn't hot enough. Also, I didn't like that the bath had only half 'door/shield' because water still spilled out and the floor ended up being flooded despite the floor towel.Food was great, we had dinner at Sky Restaurant. Loved the buffet service.",[]
5/5,It's a beautiful place with cool fresh breeze because of the trees there. The meeting rooms are amazingly conducive. Nice reception too.,[]
5/5,"A place I love to visit once in awhile because of the serenity and infrastructure put in place.The best hotel and suites in Nigeria as far as I know for now, with the advantage of the ocean view.",[]
5/5,"Beautiful, well decorated hotel in the heart of Victoria Island.  I was not staying there.  However, I came in next door to look at Nigerian Arts and Crafts.  And, we went to the hotel.  The front was exquisitely decorated with Christmas lights.  We walked through the lobby and went to the rear, which is beautiful.  There are several restaurants, a beautiful pool, a playground, and more.  The yard leading to the extensive playground is decorated with beautiful sculptures.  It is just a breathtaking place.  I don't  have enough words to describe the hotel.  I love, ❤️",[]
5/5,The Hotel iI will want to just go to and Relax over the week end because its all chilling and good vibes coming in and out the Hotel man.. I recommend you try it.,[]
4/5,My baby is getting old......now I need to order for tooth brush before I get.....be ready for mosquitos 🤣 their restaurant is worth checking out. I enjoyed my stay,[]
5/5,"Eko Hotels & Suites is one of the choicest hotels in Lagos State. Located in Victoria Island, the hotel has ocean view. It's serene and edifying ambience is a delight.The hotel boasts of superb rooms of different classes and uses, and excellent services.Its proximity to military bases and barracks complements it's on site security apparatus which is above average.It is a wonderful place to be.",[]
5/5,"A serene environment with large enough space , well exhibitions with a lot of other side attractions of natural essence.Expo hall was well arranged and decorated  & accommodate  large crowd  recommended for any international symposium.",[]
5/5,Hung out by the pool side with my friends. The live band was engaging and the music was soo good. The food and service was great too. I really enjoyed the poolside ambiance and the decor,[]
4/5,The rooms were just okay. But they had this odd smell for me. Dint like that at all.The place is big and it was the festive season so it was really crowded.,[]
4/5,The place is well done but doesn't live up to the 7 Star standard. Be careful of the toilets some were unclean in the common areas.,[]
5/5,Their buffet is delicious and very affordable. Food was well arranged and the waiters were too courteous,[]
5/5,Great place to stay. Cool reception. Nice ambience and indeed relaxing after a hectic Lagos day out! You'll love the experience and will worth the effort.,[]
5/5,"I usually recommend Eko hotel for any event. The car park, space and ambience is topnotch. Though I feel the general toilet where men do number 2 can be cleaner.",[]
4/5,"Stayed at Signature. The aesthetics is great but they wanted to take an hour to make fries lol, just.Idk if it’s first day syndrome or idk the elevator wasn’t working and they don’t have stairs to goUp, just the elevator.",[]
1/5,It was wonderful  visiting  Eko hotels  again and again.  Beautiful  and entertaining environment . Good food. Good Services.  Wonderful staffs,[]
5/5,"The hotel is very spacious but their car park is not enough for the customers, also, more security personnel are needed to direct new customers to avoid wonderers.",[]
5/5,"Wow!Eko Hotel is as beautiful and as comfortable as they get.It is a 5-star hotel and you sure get that 5-stqr treatment.Where do I begin from?The complimentary Buffet Breakfast that has an array of local and intercontinental dishes?Or the beautiful bonding moments created due to the cozy nature of the RBG Restaurant on the Ground floor of the suites?The amazing security and their attention to details?The properly air-conditioned rooms?The spacious suite?The attention to details?The accessible roads?Eko hotels ticks all the boxes for me.If you are coming to lodge here, you need to know that there are 4 'hotels' in this '1 hotel', so, you can choose appropriately.I loved the meals! I loved the ambience.The facility is Wheelchair-accessibleThere is a recycling bin on every floor too.",['https://lh5.googleusercontent.com/p/AF1QipP7igcSnZOiNvYUE7G-pM2HuGiKmMGXHZhxU7XZ=w150-h150-k-no-p']
5/5,Fantastic experience..Buffet Breakfast is Top Notch .The DJ at the Red Restaurant  at Eko Hotels  is the best .Rooms extremely clean and well taken care off .The Landry service was  fabulous,[]
4/5,"Got the room facing the waterfront, lovely view I must say but for 100k a night the room was rather  small. They can do better with appliances though. The kettle in the room was not working and I need to boil some water for coffee. The breakfast buffet can be better. No chicken, beef, turkey or fish was in sight at breakfast. Just some fish sauce and sausages.",[]
5/5,"Eko Hotel is defined as a happening place. Hahaha. I love the environment.. most especially the ambience at night and beautiful coffee shop therein. No other way to talk about the room service but wow!!! They give you a kingly treatment.. Come with you babe, family, and friends and trust me, you will always want to return with an anticipation that always results to happiness.",[]
1/5,"Too run down, outdated,  needs major revamp of the hotel and facilities. I wouldn't book here for any function and pricy for what you get.",[]
5/5,"It was a nice, welcoming environment, with different things to enjoy.",[]
3/5,I watched the Arise Fashion show and spent the night.The food service during the show was slow and disorganized.The room service was much better.,[]
5/5,"One of the greatest business hub in  Lagos State with numerous businesses at a goal, Eko Hotel is just like living in 9 star ✨ hotel. One of the biggest Hotel in Lagos and  Nigeria...It acomodates foreigners than any other Hotels in Logos, it is also location at the heart beat of Lagos close to beach...The environment is top notch and second to none. There is a big swimming pool, sports center, different continental dishes restaurant, a mini art shop at the entrance, numerous event halls and meeting halls, if there is anywhere to visit and have the vibe that you are outside the country just visiting Eko Hotel and Suites...The security is very tight and open to all 24/7...",[]
5/5,I have been there since Saturday and everything and everyone is nice but their customer care is quite slow . It takes a lot of time for them to answer when you call them to help. The breakfast is to die for. And they take corrections without prejudice,[]
5/5,"This is a great place and the managers of this hotel seems to also have the family theme at the back of their minds. When you make a report, the management seems to respond quickly. Great place.",[]
4/5,"Prime restaurant: ambience is good, polite staff, food tasted good though the salmon appetiser was a bit too salty. Bring back the steamed hand towels please. Overall, as first timers, we were pleasantly surprised. 👍",[]
3/5,Cool experience but I couldn't get my complementary breakfast brought to my room...,[]
5/5,"It has different halls you can use to host events. The halls have huge capacity. The environment is is beautiful one as well, and they have good security",[]
5/5,Very nice place and silent area. I love there service,[]
4/5,"My experience there was nothing short of excellence from environment to everything, just some senior staff that sour my experience with their overzealousness, that why am giving a 4 star and not 5",[]
5/5,"One of the very good 5 Star hotel you can think of going. It's high class yes but it's worth the money. Events are going on in different areas of the building. Lots of restaurants are available around there. Enough space, serene environment. They have very good sound system available on request. I think it comes with the package of what you paid. Swimming pool too is good. If you have the money, it's worth visiting.",[]
4/5,"I went for Sunday Brunch.The service was great, Michael was our host,he was very courteous and professional.Rating the food 5/10, it was ok.",[]
5/5,"This is still one of the best place to be, car park, restaurant, event place, swimming pool and lots more.....",[]
4/5,"Other related services for banking, local transportation and access to local food stores and shops ,food vendors and FX are within range if you have a reliable guide and resources information mobile application.",[]
4/5,"It was an okay experience.Amazing view, polite attendants and a good sense of security.  I visited a few of their regular rooms which were a bit okay but the toilets in the regular rooms were quite small in my opinion.  I think they can do better with how first timers can locate their main buildings because they have quite a big compound.",[]
