rating,review,image_url
5/5,"Four Points gave me a ""wow!"" experience. It's one of the best places I have ever been in recent times. For me it's a great place to be. You can actually feel the warmth of it's great service from the reception. The restaurant offers an appetizing variety of local and international cuisine and indeed some tastes to explore. It is strategically located on the Island and so easily accessible.","['https://lh5.googleusercontent.com/p/AF1QipPiVZVt3QH7ZTfX-YhSIEUd7nrNo-eILfkQBFIC=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMDKmNK3yIcFjVJG1U6YomqFxzVDdKEOFiVER9l=w150-h150-k-no-p']"
2/5,"Let me start by saying The staff is great. Great customer service. Now, to the condition of the property. From the outside it looks as if it’s a part of the Sheraton Bonvoy family. Upon arriving there was no trolley to carry luggage and I was advised to leave my bags on the floor outside as My Bolt(Uber) had to go. Come to find out they only have two trolleys for a hotel that services hundreds of guests.The hotel is begging for renovations and a mold remediation job, the hallways look like they just had multiple touch up paint jobs and just screamed old and I maintained.I entered my room and it looked good, however once walking in the bathroom the grout was plastered with black and the mirror was peeling. Marriott and Sheraton should pay attention to this property and make it a priority because they will lose money.I asked for another room and the staff attentively listened to my needs and found the best option they could give within their portfolio which was still a 1973 styled bathroom that looked like it needed a bucket and slippers to even step in it.For the price to be close to Lagos Continental prices but the experience to be like this, I would suggest avoiding staying at this hotel.The staff said they will be remodeling the bathrooms soon, until this place makes a large announcement about such my two cents? Pick another hotel.",[]
4/5,The Four Points by Sheraton Lagos is a good hotel to stay in if you’re in town for business. The room that I stayed in was clean and the service was very good. The staff at the desk and the restaurant were very helpful which made my stay more enjoyable. The only minus was the musty smell in the hall before getting in the room.,[]
5/5,"Fantastic location. I truly love this hotel. Very friendly and top-notch aesthetics with great meals. Quiet, serene and yet friendly. A visit will convince you that this hotel is a home. Great for meetings and also in a very fine location around Victoria Island and Lekki axis. Visit and thank me later.","['https://lh5.googleusercontent.com/p/AF1QipPlKGCJvQbDf-sI4JHsY6Rrlj-guASvMi_mIgnz=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipONpUKy79tnnFxUxBWg3tWimu67qocOlvErUdUX=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipPAHw1oE1WkirEx2a-OeQRGpVS7CPsmNGiH6y8W=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipPDdzUhtyy_KfQOqWRtKXKbAd4dUlHwqj8WvIqu=w150-h150-k-no-p']"
5/5,"As always, I am welcomed and feel at home in when I stay at the Four Points by Sheraton(Marriott) in Lagos.Place is safe, comfortable and convenient.Kaliq the GM and Wayne the Chief Chef have treated me with royalty.Definitely a place I will be back to and recommend to other traveller's.Good for business meetings!","['https://lh5.googleusercontent.com/p/AF1QipPx4S3a6vXQJohwBHj-reBLwbSDXiTbD_QS_j79=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipOoEQq5WcyNfwJhQ6di8SP9_YmDMBsWNatc1KkP=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNVCHJdtlM8qQacqquTTTOqSSfGXqKlWiFEJUo4=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipPVfQo_L8eaJ49CwwwnZV697PRxeJrpJdoTs7dj=w150-h150-k-no-p']"
5/5,Beautiful and nice ambience.  Buffet👌 They sell mouth-watering snacks at their snacks sessions. I enjoyed their Doughnuts 🍩 and the ever big and filling meat pie 🥧.  I will always go for more.,[]
4/5,"I had an awesome experience at this hotel! The aesthetics were great (9/10), and the location is very strategic - one of my favorite areas in VI. The parking space is also big enough. The rooms are spacious, and the use of space is impressive. However, the higher up you go, the smaller the room size (e.g. rooms on the second floor are bigger than those on the third floor). The views from the windows are stunning and capture the beauty of Lagos.The gym and pool were also great. The pool is one of the cleanest pools I've seen lately, and the deepest part of the pool is 5.90ft. There is a tile on the side for you to spit out, which I really appreciated, cos it’s better than spitting in the water. The pool toilet/changing room is also well-maintained and has the option for hot and cold water.The buffet is amazing with lots of food options, and the ambiance is classy. There's a chef on standby, and the staff are very friendly. I left my wallet at the buffet, and they were helpful in retrieving it from lost-and-found. The bar has a nice menu and a great atmosphere.However, there are some things that could be better. The hotel only has two trolleys, so there may be a wait to use them. The pool is not heated, but the poolside is very chilly. In-room dining (à la carte) wasn't great, and the food was tiring. Contacting guest service can be frustrating as it can take a while to reach someone, and sometimes I had to call multiple times to get something done (not nice at all). I also wish that a smart TV was provided because, besides football and news, many people don't use DSTV anymore. A Netflix, Prime, or Showmax option would have been fantastic. I know it's possible to have a smart TV option because I've seen it in other hotels.","['https://lh5.googleusercontent.com/p/AF1QipPFJzHkRqBXrNVvXAmNDKrOpUSmHcKSO7I9t4m3=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNzPfMGYHidUmSDgPNaKE4DYEEgpZvq2pW3ETZR=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipPy7uCs42mZPJi8Jw8EBsAsD-cd1_E11Lw-FEDM=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipOFe2pwfqPEx7mDuouRit2uIDh8-o892QAFAlDN=w150-h150-k-no-p']"
1/5,"Not sure how this useless hotel even has up to 2 stars, cos it's the worst luxury hotel ever. I'm actually going to call Marriott corporate - they need to take their name off this disgrace of a place. I won't even go into any details cos everything that could go wrong went wrong. Just don't waste your money here!",[]
5/5,The environment is very condusive.They have enough parking lots.The swimming pool is very clean and clear.Their rooms are superb.,[]
4/5,"Had a nice stay at Four Points by Sheraton Lagos. The room was clean and well kept. The a/c in the room can get quite chilly. I overhead a couple of people asking how to turn off a/c. Management could perhaps put a small user guide next to the controlling unit.The service I received was awesome. the guards, the guys at the reception, in the restaurant... Too bad I was in Nigeria at a moment cash was scarce, I couldn't offer any tip.Located in Victoria Island, which is considered kind of a posh area. I took solo evening walks comfortably. There are nearby malls where one can visit to break the monotony of the hotel room. Shoprite is a walking distance from the hotel, approx 1.5km.",[]
