rating,review,image_url
4/5,A good hotel in summary. Beautiful Place with beautiful aesthetics. Amazing Ventilation and spacious rooms.Lots of parking space for different arms of the hotel and other businesses in the premises. I Did not really feel a proper presence of security for a hotel that hosts high priority guests often.The multipurpose  auditorium is really spacious and well situated too.,[]
5/5,"Oriental Hotel is located along Lekki-Epe Express way, Victoria Island (Sand fill Bus-Stop.Though it's a fantastic and a beautiful place,It's a location that comprises of Hotel Rooms for relaxation, Business Show Rooms, Event Centres (Halls), Office spaces for rentals by its management.It has a well organised space for parking of cars, Topnotch Security guards.A wonderful location that gives you the value of whatever money you're spending there.Their Chinese Cuisines are awesome.It has a lagoon view through the windows.It's very easy to access and locate.","['https://lh5.googleusercontent.com/p/AF1QipNeWG8UJoIaHUVQ-vhO4_tYAtE4XJkqFahERJwu=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNF2KskjJaCuGK2KtEnslonlAf2RMTeQMZ71kGy=w150-h150-k-no-p']"
1/5,Not five star status. Cannot recommend staying here. Had to rebook another hotel upon arrival because the quality was sub par. Rooms are in need of updating / renovation. And bathrooms are in major need of deep cleaning / renovation (my mother found a roach in her bathroom and the toilet had not been flushed since the prior guest stayed).,[]
4/5,"I enjoyed my stay, rooms are very neat, bed is comfy, environment friendly and neat. The staffs are very receptive and friendly. The Chinese restaurant is very great. Room service is top notch and the meals are just ok. The Lagoon view is a beautiful sight to behold from the room view. I will sure visit again.",[]
4/5,"Oriental Hotel is a great place, massive structure partly sitting on water. Their rooms are superb, restaurant is good and some some rooms fave the sea, great ambience.Some of the staff should be trained again, they are available but have lost that excellence and patient touch of treating clients.",[]
4/5,"The grand hall room is suitable for elaborate event gathering. Also, the stage wide & conducive for special effects, fireworks 💥 etc.",[]
4/5,"They need to be more security conscious, I went for an event and some strange faces where there without an invite. How did they even enter? The question were all asking......",[]
4/5,"I went to the restaurant at the second floor.I gave 4 stars because it is a nice clean hotel, but don't account me for the food... I was not happy with my order while everybody around me seemed enjoying. (hot pot!!)",[]
5/5,This hotel is very popular in Lagos. We had our annual conference here recently. I love the lagoon view of the hotel.,[]
5/5,"Nice place for social events , conferences and meetings. Great ambience all round. ATMs dispense crisp newly designed naira bills, something that's still a rarity in most atms across the city.",[]
4/5,"I accessed a room here for the first time for a video interview. The room looked basic though but I love how spacious the hallway is and the lounge space between the lift and the room area. Security is good, and the reception is a good place for nice pictures. The drive in from the main express way was a bit cumbersome because of the mechanics fixing vehicles by the curve.",[]
5/5,"Lagos Oriental Hotel is a very nice place with water front view, accommodating and welcoming.I went there for a conference and their staffs were pretty nice.There is a car way and a walk way entrance, beautiful environment, good lightings, air conditioned and have good attendants.Enough parking space, clean toilets, comfortable seats, good ventilation, nice staircases, beautiful chandeliers, spacious swimming pool and lots more.There floors are tiled in and paved out, working securities, I didn't say how I was served, very well too.Lagos Oriental Hotel is actually a very nice place, I didn't tour the whole area but I acknowledge it's a nice place to spend time. Check out some pictures I took.","['https://lh5.googleusercontent.com/p/AF1QipNdSYvbUPGS4k-SJHRhkmb1MEEOs8tAu5xnEjT5=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipOTMOPvXkdzr9e_4RNpOyBwR9TcozCBXg-wPcby=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipN4HeK4rxO0ulkjiuixAnVJrvED66nIgHKF8lPY=w150-h150-k-no-p']"
4/5,Oh!!!! I love this place. I stayed here two nights and the experience was beautiful. My room was the lagoon view and was indeed a sight to behold. The room space and the facility is generally clean. The room is very big and the TV is a smart TV. I enjoyed the buffet breakfast served as it included rice which a very unlikely in some buffet breakfast. The canteen restaurant and other staffer are generally courteous.However robe and slipper were not put in my room and didn’t get a rope until I requested. The dustbin in the toilet was not useful because it was malfunctioning.I enjoyed my stay and will definitely visit over and over again,[]
4/5,The lagoon view was a thrill.The parking space management system is nice and the opulence oriental hotel radiates is refreshing.The staffs were very courteous especially the lobby front door guys,"['https://lh5.googleusercontent.com/p/AF1QipOZg_ft7LRdeEW9svHs455vxXa6Yvp3sSS6m8xy=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipPuFsO2bJgoYxbNY6BPnyQnqQqhA_-bVnmeUobU=w150-h150-k-no-p']"
4/5,"Clean environment, large parking area, above and underground level. Polite and courteous staff. Has a spa and more within its space and a go to place for awesome events (some events I have attended there are AFRIFF 2022, TELECOMS INDUSTRY FORUM....etc). Quite secure and great ambience",[]
3/5,Hmmm. Located and positioned properly in Lagos. Amazing water view. Big rooms. Better management could be applied to attract a more lively scene... It just looks boring these days but nonetheless a good hotel with quite enormous potential,[]
4/5,"The ambience and location is superb to host events of any kind.The staff are well mannered and always ready to assist you, the environment is clean and serene.I recommend you use there for your next event",[]
3/5,"Beautiful lagoon view however, the hotel is in need of a major renovation. It’s also not clean hotel especially the bathrooms. I felt very uncomfortable using the bathroom. Generally the hotel is outdated and overrated.",[]
1/5,"The only good thing about this place at the moment apart from the staff, is the quality and quantity of food, they have the biggest portion of food world over. The rooms themselves are very very dated, this hotel will do with some serious remodelling.",[]
5/5,"Stayed a night and attended an event on location. Service is great. It has sufficient parking, nice staff and great location. Very close to the Palms and other great locations on the Island. Breakfast was good also.",[]
5/5,"The Korean kitchen is world class. The rooms, the pool, event halls are nothing less than 💯. Power supply is constant. ⭐⭐⭐⭐⭐⭐⭐ Take seven",[]
3/5,"An exquisite ambience with an ocean view behind to give a perfect view of the island. Every visit is an entirely new experience for relaxation, meeting, lodging and dine in.",[]
5/5,My stay has been going on well.The room has a beautiful view. The check in process was good. The staff are very friendly and professional especially Chinemerem.The Meals are very tasty as well.I am yet to use the gym and the swimming pool,[]
5/5,"It's really a lovely place to be. The Environment is built to give you a whole lot of exicting, refreshing and mind-blowing experience.Lagos Oriental is indeed amazing.",[]
4/5,Pool side is awesome. The view is just lovely. Didn't get to eat but expect a review on my next visit.,"['https://lh5.googleusercontent.com/p/AF1QipO9IqC8W3NP8qH94fIycd97QvflrDVAAbM620Y=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipPzhqKO5AJ9Ygjr7CEKtD_LmPWrgJ_yY1I8uGc=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipPLLDPmqniOuXnT7mN9UdUlFU9luA7c6ALQQkY=w150-h150-k-no-p']"
5/5,"Did not use the rooms, so I can't say anything about that. Looking forward to doing that soon. We had the Manufacturers Association of Nigeria.  Good location for events - ball rooms,  large halls and adequate car park space.",[]
4/5,"A hotel with an aesthetic ambience,love the poolside seating arrangement.Unique Design with a cool view of the Ikoyi skyline.Properly maintained facilities,the convenience is top notch.Though could do more with spacing.And accessibility Signs ,entrance for physically challenged person's.","['https://lh5.googleusercontent.com/p/AF1QipPxaPdDRpNzQLUVlT5uuTicHuD0Ra1-Cnn9VTGP=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipP-PxI8jswfwRh_w9KnNpGrYFNr8O9iMIMGVxty=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNW1TumFMJvVx2jfi7RaHte_6PPn_2UEn0bk-_W=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipPZKs9SBi_KFm8h3ImVXK-VNvgGKPnPU8HEPkZm=w150-h150-k-no-p']"
3/5,I attended a conference here. The ambience was ok but you tell that age was catching up with the facility. The tea breaks and lunch were good.,[]
5/5,Just being here is a glimpse of what heaven would look like.The service is quite niceThis is my second day in Nigeria... This hotel just brightens my day!Much love and respect from your Ethiopian fella,[]
5/5,"It was my first time at the Lagos Oriental Hotel, and it was on the occasion of the NECA Employers Excellence Award. The ambience is great, the environment is secure and it's a good location to host high caliber events.",[]
5/5,"Not juts an over hyped hotel, but an hospitable tailored need hotel, services and security is top notch.The sea views gives resound peace 🕊️",[]
5/5,"It was an amazing experience. I also had a function in their ball room, really nice space .",['https://lh5.googleusercontent.com/p/AF1QipPSnKWjsm2AuNNpMfCPqJe6ivpXnkCaaP4R6Ti_=w150-h150-k-no-p']
5/5,Went there for our end of the year party.. They're soo organised.. Staffs are helpful and professional. Its a nice place,[]
5/5,"High class hospitality.  Business meetings and convention friendly environment. With a home away from home environment, exquisite hall for your business meetings. So many other  beautiful attractions ranging from the dinning section where your appetite meets dishes and cuisines that will not just match it but out match it and then, keep you wanting to go back, beautiful rooms, wonderful spa experiences and range of other beautiful things in store for you here",[]
2/5,An after wedding lunch slated for 2pm! Food wasn't ready till 3pm or almost past 3pm. They were so tardy,[]
5/5,"Excellent hotel! Simply world-class! Ambience, location, services are top notch.",[]
4/5,"Clean, friendly staff, great food and service.",[]
5/5,"Attended the Nigeria Innovation Summit 2022 there.. It was well lit, friendly environment, and the ambience was wonderful🎉🎉Would definitely recommend for any upcoming general event for networking or transformative seminars!!","['https://lh5.googleusercontent.com/p/AF1QipOsi9EkBWAD0otZ0uOz1OY7kXIzqnGX_hA9fr7d=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipOQqPata8WHO6uxgoerggOXQS7dHflyY_FLDovP=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipOImoGXE72O-zBBJtxDcP0-doNoZ6s4GqbEruMR=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipP-9qBalJzMU-YUbKLJEeNpdK_KawfM-LAcaHxO=w150-h150-k-no-p']"
4/5,"Excellent location and facilities. Attention should be paid to the  public utilities, toilets etc. Don't let complacency set in Oriental",[]
4/5,"I’ve been here twice on official occasions and I must confess, their meals always taste so good.",['https://lh5.googleusercontent.com/p/AF1QipOsVxmkfnhEx5okXT6PpOYEDTssvCH2xaXi8xWR=w150-h150-k-no-p']
5/5,"I was there for a summit & was impressed by how organised, helpful and courteous the staff are. The hotel is well maintained, I like the dark wood decor theme it has, it's giving luxury and old money. Also like that you can have a view of the ocean, even though the water is dirty and full of debris. The location is also a huge plus as it's right on the express & very easy to access.","['https://lh5.googleusercontent.com/p/AF1QipNMct8cJOQTXLug3k0gSzCC7YcQDlug1HeXjrei=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMRm14_BpPhoQ9Qja-cSfHZKvFT01WCeX6qrajn=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMwhK_Xvb_CwQfV4QmYJH56DZodfln-EOYxURRh=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipPXCNsiLts5vxznRh11533l7KJIQGhkR74m-i95=w150-h150-k-no-p']"
4/5,It’s serene. The staff members are very friendly and helpful. It’s easy to locate and good ambience.,[]
4/5,Beautiful scenery.I was there for an award ceremony organised by Nigeria achievers awards.The event was a great one.,"['https://lh5.googleusercontent.com/p/AF1QipOttbMavmrYJPH5nSYtWbBferMh34JcxWlhanXo=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNiRsxmev6lVufiwvAWUPCDRWOBob555Kc-8mJB=w150-h150-k-no-p']"
1/5,The place is very Good and Accommodative for traveler to loadge in.all there staff are very smart and active.,"['https://lh5.googleusercontent.com/p/AF1QipPefVIAk9KobknWOaiQbNY_85KClt6vjDHW-0iu=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipM0NlYHyoqkj3MthBeq1vAMYoNM_7a9BLjiNBVp=w150-h150-k-no-p']"
5/5,The road was very accessible and not hiding. They also have enough car park to accommodate customers.,['https://lh5.googleusercontent.com/p/AF1QipOJjhF2pfEuFD0uCxFindFWaoCQEVsldfThIrWZ=w150-h150-k-no-p']
4/5,Sweet place but rooms are okay but not so fabulous/ Sophisticated. Environ is okay...good sight from ur room,[]
5/5,Dear drone pilots they don’t accept drones around the area.It’s a very beautiful place and ambience for wedding shoots,[]
5/5,"A very good hotel and relaxing environment. Good Ocean view. Serene environment. Not sure of their charges per room for a day, but it's going to be on a high side looking at the worth of the building.",[]
3/5,Lagos Oriental has been a favourite place to visit for years. Albeit the Asian Cuisine served when they cater for parties is way way below the taste and standard of the one served in the Chinese restaurant upstairs. It is so bland and the shrimps over cooked and toughened. Can something be done about this?,[]
2/5,"Good location, below average experience and really expensive.Food at the hotel is up to 800% more than in South Africa (R1400.00 for a steak).",[]
