rating,review,image_url
5/5,"I loved the ambience that this place exudes. The views of the lagoon from the hotel makes it one of the perfect places for a vacation.I arranged the stay of my team at this hotel, and it was swift and smooth, except for some minor hitches. The customer service team are quick to help, and the drivers are well educated with great manners.The business lounge is also a great addition to their offering for networking.","['https://lh5.googleusercontent.com/p/AF1QipMWH295FgLVUDnaObwnYdDrRYDNwubuhglf8EA=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNW8lsQYCVaaARsbt9MJgo4qWuDbgFZC1xDPI0=w150-h150-k-no-p']"
5/5,"The service is excellent, as is the ambience. The pleasant employees stood out for me; special thanks to John and Rasaq, who served me and my friend. The music and cuisine were also excellent. The atmosphere was really relaxing and pleasant.I definitely advise you to visit this location.",[]
4/5,"Had the Sunday brunch buffet there today for a group of 9 adults and kids to celebrant two birthdays.The buffet had a good variety of options and everything we tried tasted so good, from starters to main dishes to the sinful deserts.We were pleasantly surprised that unlimited drinks were part of the buffet. That is very uncommon in Lagos. They had bottled water (not the stationary water you have to go get in tiny cups as seen in other buffets we have done), juice, Chapman, sparkling wine generously passed around.The chef came around to make sure we were ok. The live band serenaded us with great music, came to our table multiple times to sing for the celebrants.Few downsides, even though booking 48 hours ahead, the restaurant forgot the celebrants and could only get one complimentary birthday slice of cake. We handled it by writing the two names on the same plate. Also, the cooling was very suboptimal, and we were sweating in the restroom and restaurant. We did mention it to the chef when he came around and we believe he spoke to IT as it became a tad cooler later, not still cool enough though.The downsides didn't mar our experience, and we are looking forward to doing this again.","['https://lh5.googleusercontent.com/p/AF1QipNjS2i9jwGFPRBZ5GU5IHwyiicu6QCkwLkBASl0=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipP4ME7SQ-y3HEuAZgzwALfg1o33r0q-Xn93Iw9Q=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMN2CEO6fD2l1oQ8EUHf_0U67Z7rfYmFfeBduCd=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNyVO2WyEUU2ZSg1Ic1rjJ8kMW4262PZsCi1S06=w150-h150-k-no-p']"
3/5,"After calling them twice to confirm my reservation for 12 people buffet, when I got there, they didn’t have a table for me. That already got me angry. I had to wait about 25 minutes to have a table set up for me outside but I complained about the heat and I eventually got a table set up for my friends and I. So in terms of hospitality, I rate the restaurant 3/5. The food was good. There weren’t many options to choose from but it’s fair enough. The atmosphere was a bit packed with people so it doesn’t give you the feeling you probably wanted and the privacy you’d have wanted for your family or friends. The music was a bit too loud and you often have to talk louder than usual to communicate with your friends. The music (live band) is good though so I commend them on that; 4/5 rating. The aesthetics are not as beautiful as I’d have thought. Overall, I will rate my experience 3/5 stars. Twenty thousand naira per person is a bit much for the experience you’ll have and not much varieties to choose from in terms of dining experience.","['https://lh5.googleusercontent.com/p/AF1QipP9VFt6mcynigewQyyaLJne-f0NwNK-n4XEpN2w=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipOXM0O78DfzvHzTAGotWIUydgrT_PxQCvwsZCHW=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMhWuAxD1GHHS2zoHiyze3nDunOwGkCpJ_JUKkj=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipPek5_kYX4G3HdEgB_KTFtfHCP4Wt5Vz4nN5Ak4=w150-h150-k-no-p']"
5/5,Great setup. Their services are standard and their structures are cool. Their keycards don’t fail😁(as far as I know). Their lobby is a cool place to chill out also and they have good views.I’d settle for some more entertainment though.,[]
5/5,"It's so wonderful to feel like this is home away from home. So pretty, clean, excellent staff with great amenities, and you can't beat the fantastic location. I absolutely love it here and keep coming back every time I travel to Lagos! Highly recommend!",['https://lh5.googleusercontent.com/p/AF1QipNdIk7okJaLeLLyziD4GQuvDGnoAZWAwMXZ3IML=w150-h150-k-no-p']
5/5,"Beautiful place! It was home away from home for me,i enjoyed my stay. The complimentary breakfast(buffet)  was on point. The room i stayed was awesome. I love the interior, the african touch,the art work, the serenity of the water side. I like like...  I recommend this place.",['https://lh5.googleusercontent.com/p/AF1QipNwOYhu7HUaQh6H5OypqreHyNCkTnRWaGMvMyM2=w150-h150-k-no-p']
4/5,I marked my birthday here and it was a memorable experience. The thing that stood out for me is the friendly staff. The music and food were equally good also. My family really had a nice time.,[]
4/5,"The location is great and generally the staff was super friendly and helpful (in particular at the business lounge). The food menu is a bit too big, thus the quality varies a lot (eg the pizzas were not nice whereas the seafood pasta was a very pleasant surprise and the Nigerian shawarma is a favorite). In this price league the rooms could use a refurbishment though (they are a bit outdated).",[]
4/5,"I had a great experience at the hotel, and I would like to give special recognition to the hotel staffs. Ms. Peculiar, she was very friendly and helpful with all my requests, always going above and beyond to ensure that my stay was comfortable and enjoyable. I highly recommend her for her excellent customer service skills!",[]
5/5,"The environment is amazing, the view, the serenity, omo e choke. The customer service is amazing, they're jovial and kind. I love the experience 😊. The parking space is something else, it can accommodate your village people's cars sef 😂.",[]
3/5,Had buffet lunch here. Good spread of food. Variety was good. Great cooking. Only issue was a fly around the buffet area. Complained to staff who didn’t care about it.,[]
4/5,"I was at the Radisson again for a meeting and aside the functional meeting rooms and lovely tea and lunch, I found the staff quite helpful. It’s one of the few hotels in Lagos where the staff are able to call out your driver for you from the car park when you’re not able to reach them, using their security walkie-talkies.",[]
5/5,"Radisson Blu Anchorage is a delight. What an experience. The location is awesome, especially if you get a room with ocean view. The food is top notch,  and the rooms are hi- tech. It was an amazing experience.","['https://lh5.googleusercontent.com/p/AF1QipORFTpszrKqhb_ra5KLTPGEZW_PJbt4phBs_CfS=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipM41WVto3aAwbJlwCOStYsN1MXtIg2-mywbvcvO=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNpsM3i02k-fEIZiw1Vya7mYzk7OU2tsgpa-6xx=w150-h150-k-no-p']"
5/5,Experience has been really amazing and I mostly enjoyed how safe and comfortable I felt in the property. I will definitely return and recommend!,[]
5/5,"Such an excellent experience.... From welcome, to the clean environment, the serenity and not forgetting how tasty the meals are. Fantastic!",[]
5/5,"Lovely place. The ambience is great, service is top notch, the meals are quite tasty and the location is work friendly quite accessible",[]
5/5,nice food. very nice food. and the view of the water is very nice. i’d like to come back here at night and maybe take a swim. i’d recommend this place to anyone who’s planning on going out around this area.,[]
1/5,"This review is solely based on the customer service I was unable to obtain a visa to visit Lagos Nigeria and on the same day I had to cancel my flight the very next moment I cancelled my hotel reservation. Instead of the hotel refunding my Money or at least crediting me for a the nights i did not stay . That's seven nights,   you can do the math on the value. I think it's highly unprofessional to not even at least consider a credit so I can rebookat a later day.  Money grab and careless.",[]
4/5,A hotel that is good for high class of people and 15 minutes away to Murtala Muhammed International Airport and 10 minutes drive to local Airport Ikeja Lagos and 15 - 20 minutes drive to toll gate if you are going out of Lagos.,[]
5/5,"Service is really commendable, the gym and meetings rooms are well equipped and I specially enjoyed my time at the establishment. Also, cheers to IFEOMA she really cheered me and my team up!",[]
4/5,Beautiful place 💕I believe they can do better in thier customer service.,['https://lh5.googleusercontent.com/p/AF1QipNFCugA_AtMfFN1ArahmbMUhLtUK5xNqtAmFQCo=w150-h150-k-no-p']
5/5,"I spent 3 weeks for work reasons.  clean rooms, good food and very courteous staff.  🔝🔝🔝Thank you for finding my bag with all my documents.",[]
4/5,"Radisson blu Anchorage! Well the food is amazing first off and the staff are wonderful people, from the front desk to the cleaners and security they always have a smile and are genuinely ready to help. The ambiance is amazing and off-course if you come with your boat you get free parking🥳for them rich folks. It has a lovely restaurant and outdoor with a pool where you could over look Lagos and also it’s easily accessible to any other part be it the airport, lekki or within Victoria Island. The rooms are spacious and comfortable from the superior rooms to the Suites are all neat clean and homely… some with the lagoon view and others with the view of the city. I highly recommend and will be coming back!","['https://lh5.googleusercontent.com/p/AF1QipNfG-pl6yBp6BuvWEXyYcEL_-1XKCVSZJDU_k4g=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNeM6mdETnM70L_mlkWQ5WhgM_2BkIhc4exK7Kq=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNO3zqsakNiQHDX7tPtGeRMeFXFvKYFK8-GVKX2=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipOZABUHEX-Jw9m7qAEijjSb3wav1v2vl-GmHojp=w150-h150-k-no-p']"
5/5,"It's been a great experience. We did not get the open view unfortunately, hope we do on our next visit. In all services has been lovely. Very warm staff. I will give them a thumbs up!",[]
5/5,"The experience so far has been splendid and memorable. The staff are delightfuly homely, the food is great and has a lot of variety.Fruit lovers would definitely be impressed. Joyce was so attentive to all our complaints. She is down to earth yet still maintains a high level of professionalism and acknowledged our anniversary in a special way.However, the check in experience can be inproved with more porters on standby to assist with luggage.",[]
4/5,I had a great stay as the the service and ambience is excellent and topnotch. The staffs were pleasant and courteous. The music and cuisine were also perfect. Overall  the atmosphere was really relaxing and pleasant. I would definitely love to visit some other time.,[]
5/5,Food is grest and service atvtge hotel was amazing..... we totally enjoyed our time here,[]
5/5,"It was a fantastic experience, it was my first time in the hotel, but definitely not going to be my last.",[]
5/5,"The location is friendly, staffs are warm and i will specially commend Peter who was fantastic!And The Surprise Was, The hotel has some specific set of staffs to get a survey of how you’re been treated which is Amazing to me…Ifeoma came to ask me about how I was treated sec realty and trust me I told her my mind of being really satisfied..I Love Radisson",[]
5/5,It has been an amazing stay for me. I love love my room’s architecture. The staffs are also very welcoming and the food is great!I’ll definitely love to be here soon again.,[]
5/5,"Very conducive environment, tidy and spacious room, and friendly staff around.",[]
5/5,"Am always impressed about the kind of service they render, even when there’s an issue they sure know how to make it right before you even check out. The view and environment is also very appealing.",[]
5/5,Very customer centric staff. Always caring to know if I am okay. Provides me with anything I want to make my stay comfortable. The food and portion is also really good.,[]
1/5,"Worst hotel I have ever stayed!!!! Their service and room services takes up to 2hours no lies, the water is slightly brown in colour, the bathtub had green marks , the wifi  sucks and the fridge does not work at all! It was a waste of money! The only thing I enjoyed was the breakfast buffet and the Ac. I will never be coming here or telling anyone to!!!",[]
5/5,The ambience was beautiful and staffs were really courteous. Someone kept on calling to check if everything I requested came in time and their complimentary breakfast is a 10. I recommend just book in time.,[]
5/5,Amazing service and the meeting rooms are very much equipped. Staff are really helpful!,[]
5/5,The staff was really helpful. The security guards especially helped us in finding our way around and answered our questions politely. Great place. Would definitely recommend.,[]
5/5,"I would specifically like to recommend their buffet service. It's so well organized with a beautiful array of delicacies, local and continental alike. The desert servings too are of great quality. I wasn't surprised by the level of customer service appreciation imbibed into their system, expect no less on your visit.",[]
5/5,Service was awesome and I totally enjoyed my time here….. shout-out to ifeoma who was amazing and helpful!,[]
5/5,"OK, so I had a surprise birthday here. I must say, I was completely amazed. The staffs are so organised and very friendly, they pay attention to details and are always available for you. The environment was very comfortable and welcoming.I highly recommend this place for you and your family for events and weekend getaways.","['https://lh5.googleusercontent.com/p/AF1QipNI9GJsWU6oqi1G0I2-6CdwxoHYMV6o2FcLQQ8Z=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMe0n8x9KezNwrEY-Mtq7i2sY-_jIjj2sNGPSvu=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNRTBJDCAIyqB302p3q4InXwbKC7mjsXUjA__Uv=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipPVSKmz0yjjvujH1NBy6oQMYqfyzqn4yj5iWc7R=w150-h150-k-no-p']"
5/5,"Great place, service was quite okay especially the security personnel whom were professional. Location is friendly as it easily accessible thou I never noticed the few times I went by…",[]
5/5,My experience has been good on my visits. The staff are nice and helpful.,[]
5/5,"My stay has been great, customer services is top notch and the meals at the restaurant is great as well. I’d highly recommend this hotel to visitors and those that wish to have a great time.",[]
2/5,"Service in terms of the bar is slow. Not just slow but horribly slow. Been here for almost an hour and still don't have my drinks. Environment very good. Overall, not impressed as per the hype.",[]
5/5,The highlight for me was the Sunday brunch service and the pool experience.The room was nice and spacious.,[]
5/5,"It’s been a lovely stay here , friendly staff and atmosphere, always looking out for guest wellbeing, the environment is serene with lovely views, I’ll highly recommend",[]
5/5,I enjoyed my stay. The food here is very delicious. I can’t wait to visit again.,[]
5/5,"I had fun during the Easter period, had fun at the pool, lovely room and calming environment.",[]
5/5,"Service is amazing, meals are really tasty and location is easily accessible",[]
5/5,The location is great and business friendly. It was my first time but I felt really comfortable and Ifeoma ensured that with her friendly manners . Kudos Radisson and your staff too!,[]
5/5,"This was good, staff are very professional, polite and friendly. The meals were also great.",[]
5/5,"I love everything about Radisson VI! Neat and lovely rooms, beautiful lobby, amazing buffet!!!!! ( yeah I love good food ), everything is amazing. My husband and I  had a beautiful experience.",[]
5/5,"Excellent service but the parking space needs more room. Aside the latter, everything is okay!",[]
5/5,"The service is top notch, room service is fantastic, neat environment, the food excellent, generally one of the best hotels I have ever stayed.",[]
5/5,"Beautiful place, a perfect blend of professional and semi-formal settings and the buffet is an EXPERIENCE!I was definitely spoilt for choice even on the second visit.Highly recommend.","['https://lh5.googleusercontent.com/p/AF1QipMP4yXzT5-Y9K1_7t7dK8FKIBt-cPWHdnJlcuZp=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNhSGC4QwWlrAh62GUMRhOBUHL3iiE42c5gl0Fi=w150-h150-k-no-p']"
5/5,"The view is nice and the Idea Hall though small but very cool for an event, their WiFi connection is very smooth, check and have experience of working here",[]
5/5,"Everything has been great, ambience is beautiful and i really love that the staff are willing to go the mile to ensure comfort….. very commendable!",[]
4/5,Location was accessible. Food was great and they had a lots of varieties. I will definitely recommend.,[]
5/5,"The service was excellent, I wish to recommend to any one deserving of world a class treat in a world famous hotel, I and my family had a swell time and are well pampered.",[]
5/5,Staff were always ready to go above and beyond to meet guest's expectations.,[]
5/5,Excellent service and professional staffs. Great place to relax after a long week of work. Great food and drinks. Thanks to Annie. She is a great staff.,[]
5/5,"I came in from another hotel with regards to some issues, got here checked in fast, room was clean with nice fragrance. Came down to the restaurant for dinner which had exquisite selections. My stay was great",[]
5/5,"Service is really great and I'll return, Ifeoma was quite nice too",[]
5/5,It was amazing experience and location was actually easy to locate as it helped me navigate to my office. Lovely place!,[]
5/5,Security is professional and the ambience is great. Lovely place and not forgetting brunch was awesome but the parking space could do with more room.,[]
3/5,The internet on 319 is the worst. Had to sit on the floor next to the door to get some wifi and speak to my family over the phone... The food is delicious tho.,[]
5/5,"Radisson Blu Anchorage Hotel, Lagos is located on the highbrow of Lagos along Ozumba Mbadiwe Ave. Great view with well experienced staffs ranging from the security guards to servers and the kitchen guys. I really like it at the Bay area with the natural view.",[]
5/5,I love it here always because the service is very much different from every other hotel i have stayed in.,[]
5/5,"It was actually nice, I enjoyed the service, the seafood okro, it was very rich.",[]
5/5,"I love the setup, the view, and the energy around, it makes me feel spending my whole day. Was really amazing!",[]
5/5,Such polite service! Menu was reasonably priced and the food was worth it. Loved the view too,"['https://lh5.googleusercontent.com/p/AF1QipPCATBakaqztnPGAWJIySxfKcX23uxWfbjjo8Hl=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipPt1QkrFj73EV0P5CfFMNWarBDhIrdbZ7bLlyR6=w150-h150-k-no-p']"
5/5,Great place for relaxation and comfort in a serene location with refreshing water-view experience. Service is courteous and decorous.,[]
5/5,"Lovely view, and calm environment, the Easter brunch service was amazing.",[]
4/5,They have a good and friendly staff. Good location near the Lagos Lagoon. Good food too. A nice and entertaining place to be. Would love to come back.,[]
5/5,"Excellent service! My family and I really enjoyed the brunch, also I really commmed the staff they were professional and willing to help",[]
5/5,The service is excellent and amazing. It’s actually my first time here and I TrueType enjoyed my stay.,[]
5/5,"The ambience is great, service is top-notch, location is easily accessible and the meals are quite tasty..... Overall great place!",[]
4/5,"Ok I think I love being here this wasn't my first time, good environment and tightly security good car park.",[]
5/5,"Beautiful place, I love the spa service, staff are great.",[]
5/5,Amazing place… totally enjoyed my time here,[]
5/5,A very nice environment and well mannered serviceReally enjoy every moment spent here,[]
5/5,The staff are very warm and the buffet had sumptuous varieties.A very good view from the poolside.,[]
5/5,"The environment is beautiful, the service is amazing, the food is nice but not always tasty. You guys are rare!, spacious and very conducive rooms.",[]
5/5,"Nice, the food was perfectly made, the wifi connection was fast, and the room was comfortable and neat.",[]
5/5,"Environment is clean, the view is beautiful and the staff are really great!",[]
5/5,"Nicer than the previous stay, everything was awesome, staff were very professional,keep it up.",[]
5/5,"The ambience is great and the staff are quite nice too, everyone seems to be on their toes, commendable! Not forgetting ifeoma was great",[]
4/5,"Customer service was splendid, the buffet was beautiful and satisfying. Didn't lodge or stay overnight but it was a nice experience.",[]
5/5,"Its a nice place to be, the service is fast and excellent. The meals are great",[]
5/5,"Excellent service, ambience is great and staffs are really commendable especially the security team. Cleanliness is top notch!",[]
5/5,"My experience was a memorable one, with lots of fun. Excellent service from the staff.",[]
5/5,"Excellent venue for meetings and events. Conveniently located on Lagos Creek on Victoria Island near ""embassy row"". The anchorage is an added bonus for water access to avoid crazy Lagos traffic",[]
5/5,My stay was very enjoyable and the service was top notch...Very friendly staffs as well.,[]
