rating,review,image_url
5/5,"This place is massive and caters for a lot of activities. Apart from lodging facilities it equally has halls for events and conferences. It is cozy, beautiful and tastefully furnished. The restroom facilities are modern and sparkling clean. The hallways are rugged and air-conditioned. The kitchen can cater for your events if you wish. The compound is large, beautifully decorated with ornamental trees and has enough parking space. Security protocols are in place such that guests and belongings are passed through metal detectors before entry.",[]
5/5,"One of the oldest luxury hotels found in mainland Ikeja on Mobolaji Bank Anthony way. Strategically located to offer you easy access to the airport, Ikeja golf club and the Ikeja city mall. They also have a couple of halls here which can be used for your various events and corporate engagements. It was good to see how nicely maintained this place is considering it's been around for about 30+years.",[]
5/5,"I have been there for conference, and lunch date. There buffet service is great with a lot of varieties. The environment is serene and clean and their staffs are courteous. Overall it was a nice expérience.",[]
3/5,"They need work on the taste of the Food,The Chef needs to be evaluatedAs at of last year December, had Buffet Lunch there with some Friends, it basically only Chicken Pepper Soup that was really nice, all other Meals were just okayThey should improve and meet up with their ' Hype 'My honest opinion 👌🏾",[]
5/5,"My sweetheart and I took some of our friends to Sheraton hotel for dinner, Too be honest I didn't really like the beef lasagna I ordered for but my sweetheart loved the prawns he ordered for and I enjoyed my long island iced tea.The service was excellent, the hotel is beautiful, we are yet to check out their rooms.",[]
5/5,"Ample parking space, warm and courteous staff,very very comfortable bed!The room was really beautiful ! I thoroughly enjoyed my sleep! We got complimentary breakfast ...The breakfast buffet was fantastic!I love this hotel. I highly recommend it!",[]
3/5,"The location of the property is fine and the hotel itself is basic. The check in was smooth for our group of colleagues.Room has basic amenities and was clean. Stayed here for 2nights and did room service both times for dinner. Lots of dishes on the menu weren't available for which the staff over the phone was apologetic. The food was OK ok but on the second night I had a serious food poisoning for which the hotel staff weren't helpful at all. I had informed them to inform my colleague about my situation while they call for the hotel doctor, instead they asked me and my colleague to walk to the hospital in the night while I'm crouching on my bed with pain. I was utterly dumbfounded by this behaviour of theirs.This was my first stay at Sheraton in Lagos and I'm happy that I never had to fly to Lagos anymore.","['https://lh5.googleusercontent.com/p/AF1QipMZsr-6vgWtynDPi7xLsbJuI6WHm3gN4gpjvD1z=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMv1c2_hO4jZZVoMEWumk32zREg7dTiHmY61fAf=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMQ7F8SHn5u4emSG5-8jPMMvquz96IWhu4YcKQ1=w150-h150-k-no-p']"
3/5,Pretty old hotel but still partially well maintained.Don't bother with cocktails and juices at that swimming pool lounge because they don't seem to know what they're mixing there. Last week I ordered for a glass of pineapple juice and got something that taster like lime juice.,[]
5/5,"A very lovely hotel, but many of their staffs are very unfair to single ladies, no respect expecially when you go there alone, its either you're stopped from going in or make you call whoever you're meeting up there to come out and get you which is very embarrassing... women are humans too and deserves to be treated right, we are not unknown gun men or kidnappers",[]
4/5,"hi, it was great my stay in this hotel, the staff is really nice and attentive. the only thing  wich I didn't like is what I noticed about the way the security floor staff have to perform their shift as they have to be standing for hours with no possibility to sit down for a moment as they are not provided with a simple chair during their shift. I dont know if there's a particular reason for this  but if there isn't, I suggest you to review this matter as I think it would be an improvement for staff well being. thank u  for your outstanding service.",[]
5/5,"Sheraton Lagos Hotel offers what you expect from a 5-star hotel - spacious and clean rooms, and professional desk staff.In addition to that, the location is also secure. Every vehicle going into the property is scanned for weapons.Also, before you get into that hotel, your luggage is scanned, airport-style!The only drawback is the quality of the food. Even though it cost me £22, the food wasn't great.",[]
3/5,friendly staff. there are several improvements that need to be seen from various angles.1) the condition of the room with some scratches and worn furniture. the water from the faucet also looks unclean and safe to use.2) breakfast with a charge rate of usd26 and a buffet that only serves the majority of empty glass noodle and fried rice without egg and meet inside plus most of other food is just potato and soup is not worth the price charged.housekeeping team and other staff are the best. always greeting guests and also helping with any questions asked,[]
4/5,"We had a good time, the employees were very warm and polite. Especially, we couldn't get enough of Akin's special drink, it was very delicious and fresh.",[]
4/5,"It has a very nice scenery with nice live performances but there're limited food for the buffet,  I wish there're more local foods like amala, semo, Pounded Yam etc.","['https://lh5.googleusercontent.com/p/AF1QipMd56Bu-0Nq7bF1rxbn89EMH3CIp1AGc9Gri3Aj=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipPdPVDeyJFJgUPV6s_2M7ecCVNiHSPHQAOka51Z=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipOUm0ms6rlC6Zp-_rtEgQ2bQHnsHGvokUBRbWQe=w150-h150-k-no-p']"
5/5,I attended a meeting in their hall. A very beautiful place. Large parking lot.Top notch service.I loved the experience here.,"['https://lh5.googleusercontent.com/p/AF1QipNZ3sktacsRPeCZ66GzCtlg9CadhrG_tUXKy3Zy=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipP_5UUMEBlSoYP0O4Klo-tFl9n5k5P0DKxrpnhn=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNLMgmmglRtdzpaz_tK_vW2gmHKB9ZlNcxHYxqN=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMwOszlQFXvumDZq55inUrihdohQo6eBv5PRMUP=w150-h150-k-no-p']"
5/5,"This place is wow 🥰😍🤩Trust me,take yourself,your date, your friends, family and I promise you'll have a wonderful experience.Also if you want to mingle with the whites,this is where you'll get to see them😉",[]
5/5,Sheraton Lagos Hotel is located after Total Petrol Station Maryland. The location is easy to identify and the environment is serene.The rooms are very clean and room service are amazing.The rooms have centralized AC and are always very cold.The staffs are also very professional in their engagement with customers.Try visit the hotel. You will surely enjoy your stay.,[]
5/5,"Very hospitable, their food is really good and the employees are friendly and caring towards their customers. A nice place to spend some time in.",[]
1/5,"I unfortunately stayed 2 months in that terrible hotel.Bad customer service from reception, rude receptionists there and incapable.I do not recommend.Some staff, waiters, housekeepers or people in charge of dry cleaning are very nice tho. Those are the best people.  Unfortunately, this is not the case for the first ones you see ands who will give you a bad first impression: the reception team, full of themselves.Everything so old, the hotel needs refurbishment. Food and buffet are alright. I can’t complain about it. Often there’s blackouts or the waiter coming in your bathroom is dirty and not clear.",[]
5/5,"Anytime I have the opportunity to spend time in Sheraton Ikeja Lagos, I look forward to having a few pieces of there grilled chicken in my plate and lately, I discovered they have one of the best pancakes during breakfast too. While I enjoyed the Friday night live band by the pool bar the Beef Suya was a bit salty. Overall hotel service is professional. Very warm and chatty staff especially the restaurant staff and helpful room cleaners.",[]
4/5,"One of the best hotel in Nigeria and it is in a strategic location, not far from the airport. Moat pilots and hostesses use to lodge there",[]
4/5,"Hotel is situated about 20minutes drive from the domestic and International airports in Ikeja. Security is top notch and consistent in practice and procedure over the years. A good thing.The lobby area at this hotel is quite expansive with ample waiting area. Lift access is manned by security so be prepared to be asked questions if you are not a guest and intend to use the elevator.The hotel has a number of themed restaurants and on this occasion I dined at the Italian restaurant called ""La Giara"" (la JeeArah /the Jar). Not just any ""jar"" as the traditional translation  is actually the ""Olive Oil Jar""...so now you see the connection? Olive oil and ITALIAN restaurant?👌The restaurant is well laid out with comfortable seating arrangement for guests. I started with the Anti Pasti buffet which was quite delightful with an array of different Foccacia breads, cheeses, meats and veges. Next was my main course Risotto and sausage which had a good balance of starch and cream but was short on taste with the sausage. TBH the sausage was quite bland.Overall tab for two people was about $95 without alcohol. Oh yes,  that Anti Pasti is only ""free"" if you order a main course and glass of wine. Still good value in my opinion.La Giara remains on my list of top 5 authentic Italian restaurants in Lagos.","['https://lh5.googleusercontent.com/p/AF1QipPTx_eeoEpW8vzT8dSQjXNj1eGaoajb-gGCZ-Z0=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipN_L_UZRF9sp0A72bCFdSN5SCAW6DxPS8WRjMUF=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMSI9UOhOxC-We_gI3ZryO81OXpDh7QplFob6Mr=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNWYSAH301z7a3FcXI7es63SKCUNKhBxZ6FOYD9=w150-h150-k-no-p']"
1/5,"Very disappointed with my stay at this hotel. The first time I stayed there, the room next door was very noisy, I contacted reception to change my room which took about 2 hours to do.The next time I stayed at this hotel the room I stayed in smelt like damp mould, when I contacted the reception for bathroom amenities no one came back to me. I had to find someone in the hallway to bring me what I had requested. Which took over 1 hour just to get from them.Room service took 1 hour. I was double charged for my bill, and I'm currently awaiting answers.Very very slow service. Would expect better.",[]
5/5,"I had the most amazing experience! The room felt comfortable, the house keeping was top notch, buffet was impeccable, staffs were very polite at all times! As someone with some level of OCD, I didn’t want to leave at all.",[]
5/5,"I've stayed in about three 5 star hotels and this hotel has the best vibe, the service was great, staff cordial and professional. It comes with a tennis court, beauty salon, restaurant, outside bar and swimming pool. A great place for business trips and weekend getaways. If I'm in Lagos again definitely consider this hotel","['https://lh5.googleusercontent.com/p/AF1QipN8XxtBzfIoUIBgJ4-9LjY3gRGlANvx6Txk-jVm=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipP2JBkLCuq6NGSRZYtDESgSHglsW3cWJSDX6pC7=w150-h150-k-no-p']"
3/5,"Customer service from the few times I visited wasn't the best. If this changes, I'll edit my comment. The place is however cool, good food and nice rooms.",[]
4/5,"I love the security team at the entrance, and they are so accommodating, the environment is so clean and meet.Kudos","['https://lh5.googleusercontent.com/p/AF1QipNnLfnEnVkkFg7W0YkTTFELR35YaRRaGjptkc3E=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNB0oD4u6Znlp90VhXbjAjbI9AC8QaE8ZbWwnJr=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipO8unH8FFK7a5yYjCviJ97cS8Z91cD08sxMMp0X=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNYytATjkClOQckcW1pS3Swm6ocoV7EhW4YD6tV=w150-h150-k-no-p']"
4/5,"Loved the service! Courteous and very helpful staff, cosy rooms and an all together cool environment.  Would surely visit again.",[]
1/5,"Rude staff that hangs up the phone while the client is explaining/speaking. Very slow and unfriendly service, expensive (breakfast buffet 33 USD), frequent power failure/loss every one or two hours. Couple of weeks ago: no towel in the bathroom upon arrival. Took them 40 mins and 3 calls to bring wrong small towels. Wifi is ok.",[]
4/5,"The stay is being good. The room demands some improvements. It's inconvenient the large water leak on bathroom floor coming from the shower box.As for the restaurant service, sometimes there is a lack of attention from the part of waiters to customer calls.",[]
4/5,The lounge is worse now. It used to be open buffet at certain times. Rooms are noisy((A/C from outside),[]
4/5,"Nice place,I use to love it more when there was club there,but all the same the atmosphere there is very nice.",[]
1/5,"not even in a 3-star hotel I found so much disorganization, believe me the Sheratons are not all the same. this for service and availability of staff is worse than the ibis. I hope to wake up from this nightmare I've been living since November 4, 2022.",[]
5/5,Sheraton is a lovely place to be and also at a good location around Ikeja gra not far from Ikeja police college. They also have hall of 70 persons at cheap price .,[]
5/5,"Good food. Refreshing sites. Nice place to be, especially if you are afraid of missing your flight to traffic.",[]
5/5,"Lovely buffet, cosy ambience, great customer service",[]
1/5,"I am very disappointed I book a connecting rooms in Sheraton Lagos on the 7th December 2022, I paid in full. I arrive on the 12th December 2022 and my rooms was not available I have to wait for over four hours even as I am writing now I am still at the reception waiting for the room. I am very disappointed i have lodged in this same hotel 2020 and 2021. It wasn’t like this then. The management now is very bad",[]
5/5,The Hall is not too big but does the job for small (20-50) gatherings perfectly.,"['https://lh5.googleusercontent.com/p/AF1QipPkAfP91R-0RRqoWn2glOKlCLN4qzIN19yciB8R=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipOV__eNEUj8YBRNxWFgAyAVb0jissj4YZ7f28zd=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNM14NNsTJ2d6Ku-z2fWp4xwX-K7olYcBR3Syhm=w150-h150-k-no-p']"
5/5,Amazing customer services. Had a great time! I would recommend staying here.,[]
5/5,"Awesome Hotel, A good place to relax. The staff are friendly and nice.Their food is well prepared, you know I like good food 😆😆😆😆","['https://lh5.googleusercontent.com/p/AF1QipPNLoGHxJlAwKFer6nsrq0fwzNiMDghpGK9WfO3=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipONJDt9HNSfrcWgPzuQ1pAD8FgOf18VSqyhXNBn=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipO-2Ey1HYb_j27O3mwNCt4Cs05pCzHHi_vmxHUh=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMgY4VlherZatyEkTmV9dKarJBrZfCHxoIa-ENQ=w150-h150-k-no-p']"
5/5,"Great service,centrally located and ambience is lovely. Breakfast/brunch was fantastic",[]
1/5,I am currently lodging at Sheraton hotel Ikeja and I haven’t been able to check in at 4:06pm. How the heck is check-in even 3pm? Who checks into a hotel at 3pm and checks up by 12pm? What terrible policy is this?,[]
5/5,"Awesome place and nice viewTo chill with family,friends and organizations as pee conference meetings lol 😂",[]
5/5,"Nice Company with trained, well mannered Staff who are always ready to serve Customers with respect and and simplicity.",[]
5/5,"I had such a fun time there, especially the Friday happy hour. The band was great, the music was excellent, the buffet was top-notch and tasty, the entire  ambience got me into the weekend mood after a long stressful week at work. I and my colleagues danced our heart out. It was a lovely experience. I am definitely coming back for more.",[]
5/5,Value for money is a guarantee. And the meals were well detailed.,[]
5/5,Security was top notch and staff members were welcoming,[]
4/5,Good location and 10 minutes drive to local Airport and 20 minutes to Murtala Muhammed Airport Lagos.Easy access to toll gate outward Lagos,[]
4/5,"Nice environment, a seclusion from Nigeria as the case maybe. You seem not to remember the problems outside the premises. Hospitality is above average. Only falter is the varieties in terms of buffet, it's limited compared to other competitors.","['https://lh5.googleusercontent.com/p/AF1QipNGkYiFrPzyKYJmXnBK8UTMQhC2YtBJ3lQv7l9X=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipO9sUsN3kEMCewTz8vqxssNjcYjLbvfRi_-9ad8=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMXokfhy1ktyHRPj2FeRKd0C-99oKW-_DNwwkEk=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNCUWKGc3srRdvqWtJEiILlhx-OBzUPrKDQcnCe=w150-h150-k-no-p']"
