sentence,hotel_name,Sentiment,review_topic
"this was the ""headquarters"" for the family when we visited recently for our nieces  wedding to her nigerian fiance",Eko Hotel,neutral,Leisure and Relaxation
 the facility is centrally located and encompasses 3 different hotels on one complex,Eko Hotel,neutral,Excellent Service and Hospitality
 it was safe secure and  included a buffet breakfast with a huge selection of food to choose from,Eko Hotel,positive,Delightful Food and Home-like Feel
 it was an ideal spot and one of the best family oriented hotels in lagos,Eko Hotel,positive,Serene Environment
 with an outdoor pool and different hotels and bars on the complex you did not have to leave if you didn't want to!there were readily available cabs to take to different locations that you wanted to visit,Eko Hotel,negative,Leisure and Relaxation
 some of the rooms could do  with some upgrading and repairs,Eko Hotel,neutral,Room Quality and Standards
but overall it was great value for the cost of the rooms and i definitely recomend it!,Eko Hotel,positive,Leisure and Relaxation
excellent space for office programs/retreats,Eko Hotel,positive,Event and Conference Spaces
 rooms were fair enough; spacious and neat,Eko Hotel,positive,Event and Conference Spaces
 only issue i had was that the water in the bathroom wasn't hot enough,Eko Hotel,neutral,Delightful Food and Home-like Feel
" also, i didn't like that the bath had only half 'door/shield' because water still spilled out and the floor ended up being flooded despite the floor towel",Eko Hotel,negative,Room Quality and Standards
"food was great, we had dinner at sky restaurant",Eko Hotel,positive,Beautiful Views and Dining Experiences
 loved the buffet service,Eko Hotel,positive,Excellent Service and Hospitality
it's a beautiful place with cool fresh breeze because of the trees there,Eko Hotel,positive,Beautiful Views and Dining Experiences
 the meeting rooms are amazingly conducive,Eko Hotel,neutral,Room Quality and Standards
 nice reception too,Eko Hotel,positive,Room Quality and Standards
a place i love to visit once in awhile because of the serenity and infrastructure put in place,Eko Hotel,positive,Event and Conference Spaces
"the best hotel and suites in nigeria as far as i know for now, with the advantage of the ocean view",Eko Hotel,positive,Serene Environment
"beautiful, well decorated hotel in the heart of victoria island",Eko Hotel,positive,Serene Environment
  i was not staying there,Eko Hotel,neutral,Welcoming Staff and Comfortable Stay
"  however, i came in next door to look at nigerian arts and crafts",Eko Hotel,neutral,Room Quality and Standards
"  and, we went to the hotel",Eko Hotel,neutral,Event and Conference Spaces
  the front was exquisitely decorated with christmas lights,Eko Hotel,neutral,Beautiful Views and Dining Experiences
"  we walked through the lobby and went to the rear, which is beautiful",Eko Hotel,positive,Room Quality and Standards
"  there are several restaurants, a beautiful pool, a playground, and more",Eko Hotel,positive,Beautiful Views and Dining Experiences
  the yard leading to the extensive playground is decorated with beautiful sculptures,Eko Hotel,positive,Event and Conference Spaces
  it is just a breathtaking place,Eko Hotel,positive,Beautiful Views and Dining Experiences
  i don't  have enough words to describe the hotel,Eko Hotel,neutral,Leisure and Relaxation
"  i love, ❤️",Eko Hotel,positive,Event and Conference Spaces
the hotel ii will want to just go to and relax over the week end because its all chilling and good vibes coming in and out the hotel man,Eko Hotel,positive,Leisure and Relaxation
 i recommend you try it,Eko Hotel,positive,Serene Environment
my baby is getting old,Eko Hotel,neutral,Leisure and Relaxation
now i need to order for tooth brush before i get,Eko Hotel,neutral,Leisure and Relaxation
be ready for mosquitos 🤣 their restaurant is worth checking out,Eko Hotel,positive,Leisure and Relaxation
 i enjoyed my stay,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
eko hotels & suites is one of the choicest hotels in lagos state,Eko Hotel,neutral,Room Quality and Standards
" located in victoria island, the hotel has ocean view",Eko Hotel,neutral,Beautiful Views and Dining Experiences
 it's serene and edifying ambience is a delight,Eko Hotel,positive,Serene Environment
"the hotel boasts of superb rooms of different classes and uses, and excellent services",Eko Hotel,positive,Excellent Service and Hospitality
its proximity to military bases and barracks complements it's on site security apparatus which is above average,Eko Hotel,positive,Serene Environment
it is a wonderful place to be,Eko Hotel,positive,Delightful Food and Home-like Feel
"a serene environment with large enough space , well exhibitions with a lot of other side attractions of natural essence",Eko Hotel,positive,Event and Conference Spaces
expo hall was well arranged and decorated  & accommodate  large crowd  recommended for any international symposium,Eko Hotel,positive,Event and Conference Spaces
hung out by the pool side with my friends,Eko Hotel,positive,Beautiful Views and Dining Experiences
 the live band was engaging and the music was soo good,Eko Hotel,positive,Delightful Food and Home-like Feel
 the food and service was great too,Eko Hotel,positive,Excellent Service and Hospitality
 i really enjoyed the poolside ambiance and the decor,Eko Hotel,positive,Welcoming Staff and Comfortable Stay
the rooms were just okay,Eko Hotel,positive,Room Quality and Standards
 but they had this odd smell for me,Eko Hotel,negative,Room Quality and Standards
 dint like that at all,Eko Hotel,positive,Excellent Service and Hospitality
the place is big and it was the festive season so it was really crowded,Eko Hotel,positive,Event and Conference Spaces
the place is well done but doesn't live up to the 7 star standard,Eko Hotel,positive,Room Quality and Standards
 be careful of the toilets some were unclean in the common areas,Eko Hotel,positive,Room Quality and Standards
