sentence,hotel_name,Sentiment
"this was the ""headquarters"" for the family when we visited recently for our nieces  wedding to her nigerian fiance",Hotel A,neutral
 the facility is centrally located and encompasses 3 different hotels on one complex,Hotel A,neutral
 it was safe secure and  included a buffet breakfast with a huge selection of food to choose from,Hotel A,positive
 it was an ideal spot and one of the best family oriented hotels in lagos,Hotel A,positive
 with an outdoor pool and different hotels and bars on the complex you did not have to leave if you didn't want to!there were readily available cabs to take to different locations that you wanted to visit,Hotel A,negative
 some of the rooms could do  with some upgrading and repairs,Hotel A,neutral
but overall it was great value for the cost of the rooms and i definitely recomend it!,Hotel A,positive
excellent space for office programs/retreats,Hotel A,positive
 rooms were fair enough; spacious and neat,Hotel A,positive
 only issue i had was that the water in the bathroom wasn't hot enough,Hotel A,neutral
" also, i didn't like that the bath had only half 'door/shield' because water still spilled out and the floor ended up being flooded despite the floor towel",Hotel A,negative
"food was great, we had dinner at sky restaurant",Hotel A,positive
 loved the buffet service,Hotel A,positive
it's a beautiful place with cool fresh breeze because of the trees there,Hotel A,positive
 the meeting rooms are amazingly conducive,Hotel A,neutral
 nice reception too,Hotel A,positive
a place i love to visit once in awhile because of the serenity and infrastructure put in place,Hotel A,positive
"the best hotel and suites in nigeria as far as i know for now, with the advantage of the ocean view",Hotel A,positive
"beautiful, well decorated hotel in the heart of victoria island",Hotel A,positive
  i was not staying there,Hotel A,neutral
"  however, i came in next door to look at nigerian arts and crafts",Hotel A,neutral
"  and, we went to the hotel",Hotel A,neutral
  the front was exquisitely decorated with christmas lights,Hotel A,neutral
"  we walked through the lobby and went to the rear, which is beautiful",Hotel A,positive
"  there are several restaurants, a beautiful pool, a playground, and more",Hotel A,positive
  the yard leading to the extensive playground is decorated with beautiful sculptures,Hotel A,positive
  it is just a breathtaking place,Hotel A,positive
  i don't  have enough words to describe the hotel,Hotel A,neutral
"  i love, ❤️",Hotel A,positive
the hotel ii will want to just go to and relax over the week end because its all chilling and good vibes coming in and out the hotel man,Hotel A,positive
 i recommend you try it,Hotel A,positive
my baby is getting old,Hotel A,neutral
now i need to order for tooth brush before i get,Hotel A,neutral
be ready for mosquitos 🤣 their restaurant is worth checking out,Hotel A,positive
 i enjoyed my stay,Hotel A,positive
eko hotels & suites is one of the choicest hotels in lagos state,Hotel A,neutral
" located in victoria island, the hotel has ocean view",Hotel A,neutral
 it's serene and edifying ambience is a delight,Hotel A,positive
"the hotel boasts of superb rooms of different classes and uses, and excellent services",Hotel A,positive
its proximity to military bases and barracks complements it's on site security apparatus which is above average,Hotel A,positive
it is a wonderful place to be,Hotel A,positive
"a serene environment with large enough space , well exhibitions with a lot of other side attractions of natural essence",Hotel A,positive
expo hall was well arranged and decorated  & accommodate  large crowd  recommended for any international symposium,Hotel A,positive
hung out by the pool side with my friends,Hotel A,positive
 the live band was engaging and the music was soo good,Hotel A,positive
 the food and service was great too,Hotel A,positive
 i really enjoyed the poolside ambiance and the decor,Hotel A,positive
the rooms were just okay,Hotel A,positive
 but they had this odd smell for me,Hotel A,negative
 dint like that at all,Hotel A,positive
the place is big and it was the festive season so it was really crowded,Hotel A,positive
the place is well done but doesn't live up to the 7 star standard,Hotel A,positive
 be careful of the toilets some were unclean in the common areas,Hotel A,positive
their buffet is delicious and very affordable,Hotel A,positive
 food was well arranged and the waiters were too courteous,Hotel A,positive
great place to stay,Hotel A,positive
 cool reception,Hotel A,positive
 nice ambience and indeed relaxing after a hectic lagos day out! you'll love the experience and will worth the effort,Hotel A,positive
i usually recommend eko hotel for any event,Hotel A,positive
" the car park, space and ambience is topnotch",Hotel A,neutral
 though i feel the general toilet where men do number 2 can be cleaner,Hotel A,positive
stayed at signature,Hotel A,neutral
